lat,lon,addr,sqft,assessed,market,subsidy,change,county
37.36485,-118.40079,"625 Grove St, Bishop",5500,199394,605747,4795,2978,Inyo
37.36485,-118.40063,"619 Grove St, Bishop",4400,405111,605747,2367,550,Inyo
37.36413,-118.38981,"368 E Pine St, Bishop",5500,219797,605747,4554,2737,Inyo
37.36495,-118.40027,"537 Hobson St, Bishop",1640,300856,605747,3598,1780,Inyo
37.36421,-118.38933,"487 North Second St, Bishop",5500,435062,605747,2014,197,Inyo
37.3648,-118.40027,"605 Grove St, Bishop",3860,230427,605747,4429,2612,Inyo
37.36406,-118.38933,"463 North Second St, Bishop",5500,447861,605747,1863,46,Inyo
37.3653,-118.40037,"587 Hobson St, Bishop",7031,454145,605747,1789,-28,Inyo
37.36383,-118.38964,"375 May St, Bishop",5500,115999,605747,5779,3962,Inyo
37.36484,-118.40165,"675 Grove St, Bishop",5500,608634,608634,0,-1826,Inyo
37.36382,-118.38981,"369 May St, Bishop",5500,49814,605747,6560,4743,Inyo
37.36484,-118.40183,"681 Grove St, Bishop",5500,631417,631417,0,-1894,Inyo
37.36599,-118.39945,"687 Schley St, Bishop",5000,114092,605747,5802,3984,Inyo
37.16679,-118.29437,"163 N School St, Big Pine",9540,268271,431538,1927,632,Inyo
37.36382,-118.39055,"331 May St, Bishop",5500,229536,605747,4439,2622,Inyo
37.36381,-118.39073,"325 May St, Bishop",5500,476269,605747,1528,-289,Inyo
37.16652,-118.29609,"511 W Crocker Ave, Big Pine",19744,196246,431538,2776,1482,Inyo
37.36555,-118.39936,"505 W Elm St, Bishop",3588,48777,605747,6572,4755,Inyo
37.36561,-118.39978,"563 W Elm St, Bishop",6050,421362,605747,2176,358,Inyo
37.36561,-118.39995,"636 Hobson St, Bishop",4950,408507,605747,2327,510,Inyo
37.36382,-118.39016,"351 May St, Bishop",5500,108851,605747,5863,4046,Inyo
37.36598,-118.39985,"686 Hobson St, Bishop",5500,379314,605747,2672,855,Inyo
37.36382,-118.38998,"363 May St, Bishop",5500,35728,605747,6726,4909,Inyo
37.16637,-118.29427,"401 W Crocker Ave, Big Pine",12276,242441,431538,2231,937,Inyo
37.36382,-118.39118,"307 May St, Bishop",7280,476159,605747,1529,-288,Inyo
37.36583,-118.39985,"662 Hobson St, Bishop",5500,199341,605747,4796,2978,Inyo
37.16637,-118.29454,"419 W Crocker Ave, Big Pine",7540,393355,431538,451,-844,Inyo
37.36383,-118.38941,"387 May St, Bishop",5490,95551,605747,6020,4203,Inyo
37.16631,-118.29727,"581 W Crocker Ave, Big Pine",6628,181113,431538,2955,1660,Inyo
37.36514,-118.39936,"506 W Elm St, Bishop",5940,192680,605747,4874,3057,Inyo
37.36484,-118.39935,"505 Grove St, Bishop",5500,309704,605747,3493,1676,Inyo
37.16635,-118.2969,"563 W Crocker Ave, Big Pine",6534,340000,431538,1080,-214,Inyo
37.36484,-118.39952,"537 Grove St, Bishop",5500,181771,605747,5003,3186,Inyo
37.36337,-118.39002,"362 May St, Bishop",7380,164882,605747,5202,3385,Inyo
37.36484,-118.39976,"563 Grove St, Bishop",5500,290698,605747,3718,1900,Inyo
37.1665,-118.29141,"201 W Crocker Ave, Big Pine",13500,317225,431538,1349,54,Inyo
37.36337,-118.38981,"368 May St, Bishop",4920,174014,605747,5094,3277,Inyo
37.36338,-118.38964,"374 May St, Bishop",4920,179128,605747,5034,3217,Inyo
